"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","API-02: Garantir que dados sensíveis (secret) não são expostos","chromium","Mon Feb 09 02:25:46 UTC 2026","passed","Mon Feb 09 02:25:46 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","36","API-05: Bloquear autenticação via Body (Segurança de Header)","firefox","Mon Feb 09 02:26:04 UTC 2026","passed","Mon Feb 09 02:26:04 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1463","API-03: Validar integridade da exclusão (Hard Delete)","firefox","Mon Feb 09 02:25:59 UTC 2026","passed","Mon Feb 09 02:26:00 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1655","API-01: Validar criação de task com status 201 (Contrato)","webkit","Mon Feb 09 02:26:09 UTC 2026","failed","Mon Feb 09 02:26:11 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","37","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","webkit","Mon Feb 09 02:26:15 UTC 2026","failed","Mon Feb 09 02:26:15 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","38","API-02: Garantir que dados sensíveis (secret) não são expostos","webkit","Mon Feb 09 02:26:12 UTC 2026","passed","Mon Feb 09 02:26:12 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","429","API-03: Validar integridade da exclusão (Hard Delete)","chromium","Mon Feb 09 02:25:47 UTC 2026","passed","Mon Feb 09 02:25:47 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","742","API-03: Validar integridade da exclusão (Hard Delete)","webkit","Mon Feb 09 02:26:12 UTC 2026","passed","Mon Feb 09 02:26:13 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","30","API-05: Bloquear autenticação via Body (Segurança de Header)","chromium","Mon Feb 09 02:25:50 UTC 2026","passed","Mon Feb 09 02:25:50 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","567","API-01: Validar criação de task com status 201 (Contrato)","firefox","Mon Feb 09 02:25:57 UTC 2026","failed","Mon Feb 09 02:25:58 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","40","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","firefox","Mon Feb 09 02:26:02 UTC 2026","failed","Mon Feb 09 02:26:03 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","40","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","chromium","Mon Feb 09 02:25:49 UTC 2026","failed","Mon Feb 09 02:25:49 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","36","API-02: Garantir que dados sensíveis (secret) não são expostos","firefox","Mon Feb 09 02:25:59 UTC 2026","passed","Mon Feb 09 02:25:59 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1835","API-01: Validar criação de task com status 201 (Contrato)","chromium","Mon Feb 09 02:25:44 UTC 2026","failed","Mon Feb 09 02:25:45 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","34","API-05: Bloquear autenticação via Body (Segurança de Header)","webkit","Mon Feb 09 02:26:16 UTC 2026","passed","Mon Feb 09 02:26:16 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
