"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","API-05: Bloquear autenticação via Body (Segurança de Header)","webkit","Sun Feb 08 11:57:06 UTC 2026","passed","Sun Feb 08 11:57:06 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","176","API-01: Validar criação de task com status 201 (Contrato)","firefox","Sun Feb 08 11:56:47 UTC 2026","failed","Sun Feb 08 11:56:47 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","735","API-03: Validar integridade da exclusão (Hard Delete)","firefox","Sun Feb 08 11:56:48 UTC 2026","passed","Sun Feb 08 11:56:49 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","39","API-02: Garantir que dados sensíveis (secret) não são expostos","chromium","Sun Feb 08 11:56:38 UTC 2026","passed","Sun Feb 08 11:56:38 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","42","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","chromium","Sun Feb 08 11:56:41 UTC 2026","failed","Sun Feb 08 11:56:41 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","36","API-02: Garantir que dados sensíveis (secret) não são expostos","webkit","Sun Feb 08 11:57:01 UTC 2026","passed","Sun Feb 08 11:57:01 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","34","API-02: Garantir que dados sensíveis (secret) não são expostos","firefox","Sun Feb 08 11:56:48 UTC 2026","passed","Sun Feb 08 11:56:48 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1183","API-03: Validar integridade da exclusão (Hard Delete)","webkit","Sun Feb 08 11:57:02 UTC 2026","passed","Sun Feb 08 11:57:03 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","41","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","webkit","Sun Feb 08 11:57:05 UTC 2026","failed","Sun Feb 08 11:57:05 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1989","API-01: Validar criação de task com status 201 (Contrato)","webkit","Sun Feb 08 11:56:58 UTC 2026","failed","Sun Feb 08 11:57:00 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","463","API-03: Validar integridade da exclusão (Hard Delete)","chromium","Sun Feb 08 11:56:38 UTC 2026","passed","Sun Feb 08 11:56:38 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","33","API-05: Bloquear autenticação via Body (Segurança de Header)","chromium","Sun Feb 08 11:56:42 UTC 2026","passed","Sun Feb 08 11:56:42 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1610","API-01: Validar criação de task com status 201 (Contrato)","chromium","Sun Feb 08 11:56:35 UTC 2026","failed","Sun Feb 08 11:56:37 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","33","API-05: Bloquear autenticação via Body (Segurança de Header)","firefox","Sun Feb 08 11:56:53 UTC 2026","passed","Sun Feb 08 11:56:53 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","39","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","firefox","Sun Feb 08 11:56:51 UTC 2026","failed","Sun Feb 08 11:56:51 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
