"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","API-02: Garantir que dados sensíveis (secret) não são expostos","webkit","Sun Feb 08 11:25:18 UTC 2026","failed","Sun Feb 08 11:25:18 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","28","API-01: Validar criação de task com status 201 (Contrato)","firefox","Sun Feb 08 11:24:57 UTC 2026","failed","Sun Feb 08 11:24:57 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","30","API-01: Validar criação de task com status 201 (Contrato)","webkit","Sun Feb 08 11:25:15 UTC 2026","failed","Sun Feb 08 11:25:15 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","25","API-05: Bloquear autenticação via Body (Segurança de Header)","firefox","Sun Feb 08 11:25:11 UTC 2026","failed","Sun Feb 08 11:25:11 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","29","API-03: Validar integridade da exclusão (Hard Delete)","webkit","Sun Feb 08 11:25:22 UTC 2026","failed","Sun Feb 08 11:25:22 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","28","API-02: Garantir que dados sensíveis (secret) não são expostos","chromium","Sun Feb 08 11:24:42 UTC 2026","failed","Sun Feb 08 11:24:42 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","30","API-03: Validar integridade da exclusão (Hard Delete)","firefox","Sun Feb 08 11:25:04 UTC 2026","failed","Sun Feb 08 11:25:04 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","25","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","chromium","Sun Feb 08 11:24:49 UTC 2026","failed","Sun Feb 08 11:24:49 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","29","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","firefox","Sun Feb 08 11:25:07 UTC 2026","failed","Sun Feb 08 11:25:07 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","29","API-05: Bloquear autenticação via Body (Segurança de Header)","webkit","Sun Feb 08 11:25:29 UTC 2026","failed","Sun Feb 08 11:25:29 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","28","API-02: Garantir que dados sensíveis (secret) não são expostos","firefox","Sun Feb 08 11:25:00 UTC 2026","failed","Sun Feb 08 11:25:00 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","25","API-05: Bloquear autenticação via Body (Segurança de Header)","chromium","Sun Feb 08 11:24:53 UTC 2026","failed","Sun Feb 08 11:24:53 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","25","API-03: Validar integridade da exclusão (Hard Delete)","chromium","Sun Feb 08 11:24:46 UTC 2026","failed","Sun Feb 08 11:24:46 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","30","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","webkit","Sun Feb 08 11:25:25 UTC 2026","failed","Sun Feb 08 11:25:26 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","31","API-01: Validar criação de task com status 201 (Contrato)","chromium","Sun Feb 08 11:24:39 UTC 2026","failed","Sun Feb 08 11:24:39 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
