"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","API-05: Bloquear autenticação via Body (Segurança de Header)","firefox","Mon Feb 09 02:15:21 UTC 2026","passed","Mon Feb 09 02:15:21 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","34","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","chromium","Mon Feb 09 02:15:08 UTC 2026","failed","Mon Feb 09 02:15:08 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1564","API-03: Validar integridade da exclusão (Hard Delete)","webkit","Mon Feb 09 02:15:28 UTC 2026","passed","Mon Feb 09 02:15:30 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","34","API-02: Garantir que dados sensíveis (secret) não são expostos","chromium","Mon Feb 09 02:15:04 UTC 2026","passed","Mon Feb 09 02:15:04 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1656","API-03: Validar integridade da exclusão (Hard Delete)","chromium","Mon Feb 09 02:15:04 UTC 2026","passed","Mon Feb 09 02:15:06 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","32","API-02: Garantir que dados sensíveis (secret) não são expostos","webkit","Mon Feb 09 02:15:28 UTC 2026","passed","Mon Feb 09 02:15:28 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","949","API-01: Validar criação de task com status 201 (Contrato)","chromium","Mon Feb 09 02:15:02 UTC 2026","failed","Mon Feb 09 02:15:03 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","408","API-01: Validar criação de task com status 201 (Contrato)","firefox","Mon Feb 09 02:15:15 UTC 2026","failed","Mon Feb 09 02:15:15 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1515","API-03: Validar integridade da exclusão (Hard Delete)","firefox","Mon Feb 09 02:15:16 UTC 2026","passed","Mon Feb 09 02:15:18 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","37","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","firefox","Mon Feb 09 02:15:20 UTC 2026","failed","Mon Feb 09 02:15:20 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","38","API-02: Garantir que dados sensíveis (secret) não são expostos","firefox","Mon Feb 09 02:15:16 UTC 2026","passed","Mon Feb 09 02:15:16 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","29","API-05: Bloquear autenticação via Body (Segurança de Header)","webkit","Mon Feb 09 02:15:33 UTC 2026","passed","Mon Feb 09 02:15:33 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","34","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","webkit","Mon Feb 09 02:15:32 UTC 2026","failed","Mon Feb 09 02:15:32 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","1073","API-01: Validar criação de task com status 201 (Contrato)","webkit","Mon Feb 09 02:15:26 UTC 2026","failed","Mon Feb 09 02:15:27 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","34","API-05: Bloquear autenticação via Body (Segurança de Header)","chromium","Mon Feb 09 02:15:09 UTC 2026","passed","Mon Feb 09 02:15:09 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
